poi_type_id,building,unit_of_measure,trip_purpose,production_rate1,attraction_rate1,production_notes,attraction_notes
0,,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
1,service,"1,000 Sq. Ft. GFA",1,0.48,0.1,1,0
2,dormitory,"1,000 Sq. Ft. GFA",1,0.1,0.36,0,1
3,mosque,"1,000 Sq. Ft. GFA",1,4.22,0.1,1,0
4,monastery,"1,000 Sq. Ft. GFA",1,4.22,0.1,1,0
5,barn,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
6,outbuilding,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
7,synagogue,"1,000 Sq. Ft. GFA",1,0.49,0.1,1,0
8,cabin,"1,000 Sq. Ft. GFA",1,0.1,0.99,0,1
9,sports_centre,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
10,farm_auxiliary,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
11,retail,"1,000 Sq. Ft. GFA",1,6.84,0.1,1,0
12,warehouse,"1,000 Sq. Ft. GFA",1,0.19,0.1,1,0
13,office,"1,000 Sq. Ft. GFA",1,1.15,0.1,1,0
14,restaurant,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
15,farm,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
16,religious,"1,000 Sq. Ft. GFA",1,0.49,0.1,1,0
17,carport,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
18,roof,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
19,bus_station,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
20,civic,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
21,hangar,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
22,community_centre,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
23,hotel,"1,000 Sq. Ft. GFA",1,0.1,0.6,0,1
24,cowshed,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
25,residential,"1,000 Sq. Ft. GFA",1,0.1,0.36,0,1
26,garage,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
27,shed,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
28,storage_tank,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
29,school,"1,000 Sq. Ft. GFA",1,1.37,0.1,1,0
30,cabinet,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
31,bungalow,"1,000 Sq. Ft. GFA",1,0.1,0.99,0,1
32,university,"1,000 Sq. Ft. GFA",1,1.17,0.1,1,0
33,residences,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
34,pavilion,"1,000 Sq. Ft. GFA",1,0.1,6.29,0,1
35,prison,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
36,train_station,"1,000 Sq. Ft. GFA",1,1.72,0.1,1,0
37,demolished,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
38,industrial,"1,000 Sq. Ft. GFA",1,0.63,0.1,1,0
39,detached,"1,000 Sq. Ft. GFA",1,0.1,0.99,0,1
40,terrace,"1,000 Sq. Ft. GFA",1,0.1,0.44,0,1
41,college,"1,000 Sq. Ft. GFA",1,1.17,0.1,1,0
42,shelter,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
43,house,"1,000 Sq. Ft. GFA",1,0.1,0.44,0,1
44,yes,"1,000 Sq. Ft. GFA",1,1.0,1.0,1,1
45,government,"1,000 Sq. Ft. GFA",1,1.71,0.1,1,0
46,tent,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
47,toilets,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
48,generic,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
49,parking,"1,000 Sq. Ft. GFA",1,0.43,0.1,1,0
50,grandstand,"1,000 Sq. Ft. GFA",1,0.1,0.15,0,1
51,construction,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
52,commercial,"1,000 Sq. Ft. GFA",1,0.63,0.1,1,0
53,garages,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
54,apartments,"1,000 Sq. Ft. GFA",1,0.1,0.36,0,1
55,stadium,"1,000 Sq. Ft. GFA",1,0.1,0.15,0,1
56,hospital,"1,000 Sq. Ft. GFA",1,0.97,0.1,1,0
57,hut,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
58,greenhouse,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
59,detached;house,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
60,static_caravan,"1,000 Sq. Ft. GFA",1,0.1,0.46,0,1
61,kindergarten,"1,000 Sq. Ft. GFA",1,11.12,0.1,1,0
62,public,"1,000 Sq. Ft. GFA",1,0.11,0.11,1,1
63,church,"1,000 Sq. Ft. GFA",1,0.49,0.1,1,0
64,fire_station,"1,000 Sq. Ft. GFA",1,0.48,0.1,1,0
65,semidetached_house,"1,000 Sq. Ft. GFA",1,0.1,0.99,0,1
66,bleachers,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
